detector,descriptor,img_id,pts,pts_on_car,matches,detection_time,description_time,total_time,match_dist
AKAZE,AKAZE,0007,1331,175,173,69.4026,0.458752,69.8614,40.9364
AKAZE,AKAZE,0008,1357,177,175,80.3471,0.589824,80.937,39.6914
AKAZE,AKAZE,0009,1331,179,177,72.876,0.524288,73.4003,36.8079
SIFT,BRISK,0001,1371,132,137,130.482,0.393216,130.875,72.2993
SIFT,BRISK,0002,1380,124,132,132.317,0.32768,132.645,71.5455
SIFT,BRISK,0003,1335,137,124,130.154,0.393216,130.548,63.9839
SIFT,BRISK,0004,1305,134,137,130.482,0.393216,130.875,60.2993
SIFT,BRISK,0005,1370,140,134,130.482,0.393216,130.875,64.5746
SIFT,BRISK,0006,1396,137,140,130.417,0.524288,130.941,74.3357
SIFT,BRISK,0007,1382,148,137,131.072,0.393216,131.465,69.2847
SIFT,BRISK,0008,1463,159,148,133.628,0.458752,134.087,61.1486
SIFT,BRISK,0009,1422,137,159,131.596,0.393216,131.99,65.8239
SIFT,BRIEF,0001,1371,132,138,131.203,0.32768,131.531,22.8478
SIFT,BRIEF,0002,1380,124,132,132.186,0.262144,132.448,22.9242
SIFT,BRIEF,0003,1335,137,124,129.434,0.32768,129.761,19.5242
SIFT,BRIEF,0004,1305,134,137,134.218,0.32768,134.545,18.9343
SIFT,BRIEF,0005,1370,140,134,130.482,0.393216,130.875,20.9179
SIFT,BRIEF,0006,1396,137,140,134.349,0.393216,134.742,22.55
SIFT,BRIEF,0007,1382,148,137,133.235,0.393216,133.628,22.6788
SIFT,BRIEF,0008,1463,159,148,134.283,0.393216,134.676,19.0405
SIFT,BRIEF,0009,1422,137,159,133.825,0.458752,134.283,21.9119
SIFT,FREAK,0001,1371,132,137,130.679,0.32768,131.006,61.9051
SIFT,FREAK,0002,1380,124,131,131.99,0.393216,132.383,59.1756
SIFT,FREAK,0003,1335,137,123,130.22,0.32768,130.548,54.935
SIFT,FREAK,0004,1305,134,136,128.516,0.32768,128.844,52.9412
SIFT,FREAK,0005,1370,140,133,129.827,0.32768,130.154,60.6466
SIFT,FREAK,0006,1396,137,139,129.892,0.393216,130.286,65.0504
SIFT,FREAK,0007,1382,148,135,129.827,0.32768,130.154,60.5852
SIFT,FREAK,0008,1463,159,147,131.662,0.589824,132.252,54.5034
SIFT,FREAK,0009,1422,137,158,129.303,0.393216,129.696,56.2089
SIFT,SIFT,0001,1371,132,138,95.3549,0.524288,95.8792,184.232
SIFT,SIFT,0002,1380,124,132,130.22,0.458752,130.679,181.695
SIFT,SIFT,0003,1335,137,124,97.9763,0.458752,98.4351,154.19
SIFT,SIFT,0004,1305,134,137,97.3865,0.458752,97.8453,153.827
SIFT,SIFT,0005,1370,140,134,98.8283,0.589824,99.4181,159.696
SIFT,SIFT,0006,1396,137,140,127.336,0.589824,127.926,192.759
SIFT,SIFT,0007,1382,148,137,94.8961,0.524288,95.4204,186.216
SIFT,SIFT,0008,1463,159,148,96.5345,0.524288,97.0588,148.548
SIFT,SIFT,0009,1422,137,159,97.9763,0.524288,98.5006,169.985
